Date,AGG
12/31/2015,108.01
1/4/2016,107.97
1/5/2016,108.02
1/6/2016,108.43
1/7/2016,108.42
1/8/2016,108.66
1/11/2016,108.35
1/12/2016,108.59
1/13/2016,108.84
1/14/2016,108.8
1/15/2016,108.93
1/19/2016,108.82
1/20/2016,108.91
1/21/2016,108.76
1/22/2016,108.84
1/25/2016,108.78
1/26/2016,108.92
1/27/2016,108.94
1/28/2016,109.03
1/29/2016,109.35
2/1/2016,108.99
2/2/2016,109.32
2/3/2016,109.31
2/4/2016,109.42
2/5/2016,109.32
2/8/2016,109.74
2/9/2016,109.73
2/10/2016,110
2/11/2016,110.07
2/12/2016,109.77
2/16/2016,109.5
2/17/2016,109.44
2/18/2016,109.77
2/19/2016,109.79
2/22/2016,109.82
2/23/2016,109.84
2/24/2016,109.88
2/25/2016,110.16
2/26/2016,109.96
2/29/2016,110.09
3/1/2016,109.54
3/2/2016,109.42
3/3/2016,109.55
3/4/2016,109.38
3/7/2016,109.35
3/8/2016,109.62
3/9/2016,109.57
3/10/2016,109.62
3/11/2016,109.42
3/14/2016,109.48
3/15/2016,109.38
3/16/2016,109.85
3/17/2016,110.08
3/18/2016,110.17
3/21/2016,109.93
3/22/2016,109.86
3/23/2016,110.1
3/24/2016,110.11
3/28/2016,110.19
3/29/2016,110.52
3/30/2016,110.48
3/31/2016,110.83
4/1/2016,110.51
4/4/2016,110.62
4/5/2016,110.77
4/6/2016,110.75
4/7/2016,110.99
4/8/2016,110.88
4/11/2016,110.96
4/12/2016,110.78
4/13/2016,110.83
4/14/2016,110.64
4/15/2016,110.95
4/18/2016,110.94
4/19/2016,110.93
4/20/2016,110.66
4/21/2016,110.51
4/22/2016,110.52
4/25/2016,110.4
4/26/2016,110.35
4/27/2016,110.68
4/28/2016,110.9
4/29/2016,110.89
5/2/2016,110.61
5/3/2016,110.81
5/4/2016,110.86
5/5/2016,111.14
5/6/2016,110.97
5/9/2016,111.04
5/10/2016,111.09
5/11/2016,111.09
5/12/2016,110.99
5/13/2016,111.2
5/16/2016,111.01
5/17/2016,110.86
5/18/2016,110.4
5/19/2016,110.47
5/20/2016,110.54
5/23/2016,110.52
5/24/2016,110.46
5/25/2016,110.48
5/26/2016,110.65
5/27/2016,110.63
5/31/2016,110.7
6/1/2016,110.42
6/2/2016,110.7
6/3/2016,111.3
6/6/2016,111.15
6/7/2016,111.25
6/8/2016,111.29
6/9/2016,111.37
6/10/2016,111.52
6/13/2016,111.61
6/14/2016,111.56
6/15/2016,111.8
6/16/2016,111.87
6/17/2016,111.79
6/20/2016,111.48
6/21/2016,111.4
6/22/2016,111.47
6/23/2016,111.28
6/24/2016,111.86
6/27/2016,112.33
6/28/2016,112.47
6/29/2016,112.39
6/30/2016,112.62
7/1/2016,112.65
7/5/2016,112.95
7/6/2016,113.16
7/7/2016,113.08
7/8/2016,113.25
7/11/2016,112.95
7/12/2016,112.61
7/13/2016,112.77
7/14/2016,112.67
7/15/2016,112.26
7/18/2016,112.32
7/19/2016,112.51
7/20/2016,112.41
7/21/2016,112.51
7/22/2016,112.53
7/25/2016,112.4
7/26/2016,112.4
7/27/2016,112.73
7/28/2016,112.72
7/29/2016,113.02
8/1/2016,112.55
8/2/2016,112.22
8/3/2016,112.34
8/4/2016,112.55
8/5/2016,112.17
8/8/2016,112.24
8/9/2016,112.53
8/10/2016,112.66
8/11/2016,112.36
8/12/2016,112.63
8/15/2016,112.43
8/16/2016,112.36
8/17/2016,112.57
8/18/2016,112.73
8/19/2016,112.48
8/22/2016,112.65
8/23/2016,112.68
8/24/2016,112.64
8/25/2016,112.52
8/26/2016,112.34
8/29/2016,112.65
8/30/2016,112.59
8/31/2016,112.57
9/1/2016,112.46
9/2/2016,112.31
9/6/2016,112.55
9/7/2016,112.61
9/8/2016,112.22
9/9/2016,111.73
9/12/2016,111.82
9/13/2016,111.51
9/14/2016,111.65
9/15/2016,111.72
9/16/2016,111.8
9/19/2016,111.71
9/20/2016,111.75
9/21/2016,112.03
9/22/2016,112.26
9/23/2016,112.23
9/26/2016,112.37
9/27/2016,112.51
9/28/2016,112.54
9/29/2016,112.54
9/30/2016,112.42
10/3/2016,112.09
10/4/2016,111.71
10/5/2016,111.56
10/6/2016,111.56
